window_id,timestamp,datetime,duration,flow_count,CPWE,CPRF,RFPSD,RFBSD,CFER
0,1743372340.513844,2025-03-30 23:05:40.513844,13.666260004043579,2,0.9971803988942642,1.1707665444141933,12.0,1196.5,2.0
1,1743372354.180143,2025-03-30 23:05:54.180143,10.316520929336548,3,1.0,1.0339402924424286,6.79869268479038,656.8749246749085,1.0
2,1743372364.496679,2025-03-30 23:06:04.496679,8.0815589427948,3,0.9971803988942642,1.319877358090254,3.7712361663282534,179.61625761606325,1.0
3,1743372372.578244,2025-03-30 23:06:12.578244,8.065400123596191,3,1.0,1.3225216980196917,4.988876515698588,599.7606930175475,1.0
4,1743372381.665781,2025-03-30 23:06:21.665781,15.413465023040771,1,1.0,2.0761068294614415,0.0,0.0,0.0
5,1743372398.114086,2025-03-30 23:06:38.114086,1.23769211769104,4,0.9971803988942642,6.463643005923229,4.0,565.4358385351958,3.0
6,1743372399.351884,2025-03-30 23:06:39.351884,0.3955352306365967,3,0.9971803988942642,26.96767782101011,1.8856180831641267,165.46298679765212,2.0
7,1743372399.921624,2025-03-30 23:06:39.921624,0.35419416427612305,4,1.0,22.58648167270015,4.242640687119285,564.5588986102335,3.0
8,1743372400.275901,2025-03-30 23:06:40.275901,7.118136882781982,4,1.168645033308507,1.1238895980423123,4.847679857416329,538.6354866697886,2.0
9,1743372407.395609,2025-03-30 23:06:47.395609,3.3988091945648193,4,1.0,2.353765552003667,4.527692569068709,601.2811322501313,3.0
10,1743372410.794462,2025-03-30 23:06:50.794462,4.791758060455322,3,1.0,2.2260444980924388,1.247219128924647,276.4842772302895,1.0
11,1743372415.586396,2025-03-30 23:06:55.586396,10.904866933822632,2,1.0,1.4672347766458533,5.0,311.0,1.0
12,1743372426.491293,2025-03-30 23:07:06.491293,3.4304349422454834,4,0.9971803988942642,2.3320657976866874,4.527692569068709,604.1680229869833,2.0
13,1743372429.921764,2025-03-30 23:07:09.921764,16.456698179244995,1,1.0,1.9444969854498544,0.0,0.0,0.0
14,1743372446.379754,2025-03-30 23:07:26.379754,16.3839910030365,1,1.0,1.953126072522216,0.0,0.0,0.0
